Fighter,Date,Win,Weight Class,Gender,Win Difference,Loss Difference,Total Rounds Fought Diff,Height Difference,Reach Difference,Age Difference,Sig. Strike Difference,Sub. Attempt Diff,TD Diff,Weight Difference
Alexander Volkov,2/6/2021,1,Heavyweight,MALE,-27,-13,-57,3,0,-8,1.05,-0.6,-0.74,-15
Frankie Edgar,2/6/2021,0,Bantamweight,MALE,12,7,80,-5,-2,11,-3.18,-0.2,-0.76,0
Manel Kape,2/6/2021,0,Flyweight,MALE,-6,-3,-21,0,1,-3,-4.2,-1.1,-1.08,0
Beneil Dariush,2/6/2021,1,Lightweight,MALE,5,2,15,1,-2,-5,-1.09,0.1,-0.72,0
Clay Guida,2/6/2021,1,Lightweight,MALE,6,3,29,-3,-3,5,-1.82,0.6,-0.13,0
Danilo Marques,2/6/2021,1,Light Heavyweight,MALE,-2,-3,-10,2,-5,3,-4.12,0,0.25,0
Lara Procopio,2/6/2021,1,Women's Flyweight,FEMALE,-3,-1,-11,0,5,-5,5.25,-0.7,-2.01,0
Youssef Zalal,2/6/2021,0,Featherweight,MALE,2,-1,3,-2,-2,-4,-0.65,1.5,-0.27,0
Conor McGregor,1/23/2021,0,Lightweight,MALE,-9,-4,-37,0,2,0,-0.14,-1.3,-0.84,0
Michael Chandler,1/23/2021,1,Lightweight,MALE,-8,-5,-34,-4,-4,4,-0.9,1.2,-0.33,0
Joanne Calderwood,1/23/2021,1,Women's Flyweight,FEMALE,1,-2,-14,0,-1,1,2.52,-0.1,0.17,0
Makhmud Muradov,1/23/2021,1,Middleweight,MALE,-3,-3,-16,1,1,-2,0.4,0.5,-1.91,0
Amanda Ribas,1/23/2021,0,Women's Strawweight,FEMALE,1,-1,-7,-3,1,-6,-0.33,1.7,0.16,10
Antonio Carlos Junior,1/23/2021,0,Middleweight,MALE,-5,-2,-20,1,5,-3,-1.09,0.9,-0.59,0
Sara McMann,1/23/2021,0,Women's Bantamweight,FEMALE,5,3,18,0,-3,9,-0.41,-0.2,-2.1,0
Marcin Prachnio,1/23/2021,1,Light Heavyweight,MALE,-4,-1,-12,2,-2,2,0.25,-0.2,0,0
Movsar Evloev,1/23/2021,1,Catch Weight,MALE,-11,-8,-55,-1,4,-10,0.98,-1.2,-3.08,0
Zhalgas Zhumagulov,1/23/2021,0,Flyweight,MALE,-1,1,2,-1,-2,5,1.85,-3.2,-3.01,0
Neil Magny,1/20/2021,0,Welterweight,MALE,7,2,31,2,5,0,1.89,-0.8,-3.39,0
Mounir Lazzez,1/20/2021,0,Welterweight,MALE,-6,-4,-24,2,4,3,3.52,-1,-0.39,0
Vinicius Moreira,1/20/2021,0,Light Heavyweight,MALE,1,1,2,3,3,-5,-0.35,1.7,0.18,-20
Viviane Araujo,1/20/2021,1,Women's Flyweight,FEMALE,-1,-6,-20,-3,-1,-4,1.63,-0.1,-1.02,0
Tyson Nam,1/20/2021,0,Flyweight,MALE,-2,-1,-2,-1,-2,6,-0.18,-1.6,-0.64,0
Douglas Silva de Andrade,1/20/2021,0,Featherweight,MALE,3,3,15,-2,-5,6,1.37,-1.6,-0.28,0
Tom Breese,1/20/2021,0,Middleweight,MALE,-3,-2,-22,3,0,-4,0.85,0.1,-2.56,0
Gaetano Pirrello,1/20/2021,0,Bantamweight,MALE,-5,-2,-19,1,-2,0,-3.21,-0.2,-6.61,0
Zarrukh Adashev,1/20/2021,0,Flyweight,MALE,-2,0,-5,-3,-7,3,-1.5,-1.3,-0.66,0
Markus Perez,1/20/2021,0,Middleweight,MALE,1,3,7,5,-3,-1,1.04,1,-2.57,0
Jerome Rivera,1/20/2021,0,Flyweight,MALE,1,1,5,4,3,-6,3.79,0,0,0
Mason Jones,1/20/2021,1,Lightweight,MALE,-1,-2,-8,-2,-2,-3,-5.87,0,-0.77,10
Sergey Morozov,1/20/2021,0,Bantamweight,MALE,0,0,0,-2,-2,7,0,0,0,0
Manon Fiorot,1/20/2021,1,Women's Flyweight,FEMALE,-1,0,-2,2,3,0,-4.85,0,-4.65,0
Calvin Kattar,1/16/2021,0,Featherweight,MALE,-11,-4,-49,0,3,3,-1.46,-0.4,0.15,0
Matt Brown,1/16/2021,0,Welterweight,MALE,2,1,-2,-2,0,4,0.12,0.4,-0.08,0
Li Jingliang,1/16/2021,1,Welterweight,MALE,0,2,7,0,-2,-2,0.24,0,-0.15,0
Alessio Di Chirico,1/16/2021,1,Middleweight,MALE,1,4,14,2,-2,5,-1.64,0,-0.21,0
Dusko Todorovic,1/16/2021,0,Middleweight,MALE,0,0,1,2,2,-2,4.05,0,-3.22,0
Joselyne Edwards,1/16/2021,1,Women's Bantamweight,FEMALE,-1,-2,-7,0,4,1,-4.79,-0.4,-0.44,10
Justin Tafa,1/16/2021,0,Heavyweight,MALE,0,0,-4,0,-1,1,-0.21,0,0,19
Ramazan Emeev,1/16/2021,1,Welterweight,MALE,3,-1,8,-2,1,3,-1.09,-2.7,-0.69,0
Vanessa Melo,1/16/2021,1,Women's Bantamweight,FEMALE,-3,-2,-12,-2,-2,0,1.22,-0.9,-0.77,0
Austin Lingo,1/16/2021,1,Featherweight,MALE,0,-1,-1,1,-2,1,0.03,0,1,0
Geoff Neal,12/19/2020,0,Welterweight,MALE,-5,-3,-4,-1,0,-7,0.7,0.2,0.18,0
Marlon Vera,12/19/2020,0,Bantamweight,MALE,-9,0,-3,1,0,-6,0.2,1,-0.2,0
Khaos Williams,12/19/2020,0,Welterweight,MALE,-1,-1,0,-1,4,-1,0.65,-0.5,-1.76,0
Rob Font,12/19/2020,1,Bantamweight,MALE,-3,1,2,-2,-4,-1,-1.83,-0.4,-0.79,0
Greg Hardy,12/19/2020,0,Heavyweight,MALE,-2,-2,-4,2,2,-3,1.13,-0.1,-1.29,16
Alex Morono,12/19/2020,0,Welterweight,MALE,-9,-6,0,1,0,-3,1.91,-0.7,-0.33,15
Pannie Kianzad,12/19/2020,1,Women's Bantamweight,FEMALE,1,2,-2,-3,1,6,-0.62,0.2,0.24,0
Antonio Arroyo,12/19/2020,0,Catch Weight,MALE,0,0,-1,9,3,0,-1.66,0.3,-4.57,0
Taila Santos,12/19/2020,1,Women's Flyweight,FEMALE,3,2,0,-1,-5,-2,-1.47,-0.1,-1.54,0
